iter	Passed	Remaining
409	3834	5518
410	3838	5500
411	3843	5485
412	3850	5472
413	3856	5458
414	3866	5450
415	3875	5440
416	3887	5435
417	3893	5421
418	3900	5408
419	3907	5396
420	3915	5384
421	3921	5371
422	3929	5359
423	3934	5345
424	3942	5333
425	3947	5319
426	3952	5303
427	3957	5289
428	3963	5275
429	3969	5262
430	3976	5249
431	3982	5236
432	3987	5221
433	3996	5211
434	4002	5198
435	4012	5190
436	4019	5178
437	4028	5168
438	4036	5157
439	4045	5148
440	4055	5140
441	4066	5134
442	4080	5130
443	4089	5121
444	4097	5110
445	4106	5101
446	4112	5087
447	4121	5077
448	4128	5066
449	4138	5057
450	4146	5047
451	4153	5035
452	4158	5021
453	4165	5009
454	4173	4999
455	4180	4987
456	4188	4976
457	4194	4963
458	4201	4951
459	4209	4941
460	4217	4931
461	4222	4917
462	4227	4903
463	4235	4892
464	4240	4879
465	4249	4869
466	4255	4857
467	4268	4851
468	4276	4841
469	4286	4833
470	4293	4822
471	4301	4812
472	4307	4798
473	4316	4790
474	4325	4780
475	4336	4773
476	4340	4759
477	4348	4748
478	4355	4737
479	4365	4728
480	4371	4716
481	4380	4707
482	4387	4696
483	4397	4688
484	4403	4676
485	4413	4667
486	4421	4657
487	4430	4648
488	4438	4637
489	4457	4639
490	4465	4629
491	4482	4628
492	4495	4622
493	4510	4620
494	4521	4612
495	4531	4604
496	4543	4598
497	4559	4596
498	4573	4591
499	4581	4581
500	4593	4575
501	4613	4576
502	4624	4569
503	4640	4566
504	4657	4565
505	4678	4567
506	4693	4563
507	4705	4557
508	4717	4551
509	4728	4542
510	4739	4535
511	4759	4536
512	4769	4527
513	4777	4517
514	4791	4512
515	4806	4508
516	4817	4500
517	4828	4492
518	4841	4486
519	4870	4495
520	4885	4491
521	4897	4484
522	4908	4477
523	4916	4466
524	4927	4458
525	4933	4446
526	4943	4437
527	4950	4425
528	4977	4431
529	4989	4424
530	4995	4412
531	5004	4402
532	5011	4390
533	5022	4382
