iter	Logloss
0	0.6850279357
1	0.6755694951
2	0.6686847443
3	0.6613754643
4	0.6557394393
5	0.6494483822
6	0.6414591095
7	0.6332306502
8	0.6264440716
9	0.6208207443
10	0.6135767317
11	0.6078528522
12	0.6022223101
13	0.5959687531
14	0.5897831818
15	0.5842161445
16	0.5776735537
17	0.5708577195
18	0.5645143662
19	0.5587924396
20	0.5536066375
21	0.5501309841
22	0.5453353611
23	0.5400475093
24	0.5347564818
25	0.5303941491
26	0.5261991364
27	0.5216981949
28	0.5171265871
29	0.5116925898
30	0.5069024769
31	0.5019614704
32	0.4970275743
33	0.4929676494
34	0.4882572216
35	0.4841690803
36	0.4794560837
37	0.4761479704
38	0.4720286752
39	0.4682623272
40	0.4645458178
41	0.4608164908
42	0.456718123
43	0.4533060754
44	0.4498486886
45	0.4474845585
46	0.4442385176
47	0.4413171543
48	0.4380093579
49	0.4354187277
50	0.4329672121
51	0.429213823
52	0.4268053599
53	0.4239620113
54	0.4211686988
55	0.4186188592
56	0.4157636941
57	0.4126264866
58	0.4099232503
59	0.407984211
60	0.4054820575
61	0.4025720785
62	0.3997771642
63	0.3975889402
64	0.3949337135
65	0.3930818388
66	0.3907207966
67	0.388429413
68	0.3862367124
69	0.3846189689
70	0.382922598
71	0.3804360993
72	0.3787364051
73	0.377421939
74	0.3757794232
75	0.3740547493
76	0.3722625477
77	0.3710223614
78	0.3689470225
79	0.3667097936
80	0.3654463396
81	0.3631392354
82	0.3617395126
83	0.3601833782
84	0.358608026
85	0.3571504546
86	0.3555068117
87	0.3539277781
88	0.3527414413
89	0.3507035363
90	0.3494546341
91	0.3484841234
92	0.3471833899
93	0.34536036
94	0.34399051
95	0.3425854849
96	0.341710427
97	0.3399432241
98	0.3383287874
99	0.3367090114
100	0.3356395671
101	0.3344685526
102	0.33310998
103	0.3322058674
104	0.3305228807
105	0.3299410029
106	0.3291158361
107	0.3278830862
108	0.3268058347
109	0.3258745924
110	0.3239935465
111	0.3220142888
112	0.3207962014
113	0.319948766
114	0.3191844755
115	0.3182268355
116	0.3171833521
117	0.3159226639
118	0.3150312163
119	0.3136816928
120	0.3127174737
121	0.312075187
122	0.3107974743
123	0.3095464107
124	0.3078729003
125	0.3065989452
126	0.305815072
127	0.3048565187
128	0.3036453869
129	0.3025728853
130	0.3019682896
131	0.3011280184
132	0.3001715029
133	0.2993435911
134	0.2988279036
135	0.2977404601
136	0.2969226612
137	0.295969405
138	0.2948909992
139	0.2939214256
140	0.2931172192
141	0.2920257033
142	0.2913247352
143	0.2904480827
144	0.2894007846
145	0.2885014601
146	0.2875309889
147	0.286651138
148	0.2860047973
149	0.2855214023
150	0.2848159699
151	0.2839151703
152	0.2831128521
153	0.282599427
154	0.2819513123
155	0.281075513
156	0.2806055197
157	0.2798390674
158	0.2791855302
159	0.2786187905
160	0.2776002836
161	0.27713484
162	0.2765093701
163	0.2757626183
164	0.27526803
165	0.2746420971
166	0.2739354403
167	0.2731088125
168	0.2722928985
169	0.2716557005
170	0.271117617
171	0.2706571926
172	0.2700872404
173	0.2695279002
174	0.2688738396
175	0.2685224096
176	0.2680102465
177	0.2674376312
178	0.2668624462
179	0.2661723527
180	0.2656487433
181	0.2650680249
182	0.2647745818
183	0.2641607929
184	0.2635142992
185	0.2630214152
186	0.262548345
187	0.2621463821
188	0.2612755647
189	0.2608095636
190	0.2603749792
191	0.2600706834
192	0.2599583723
193	0.2592925396
194	0.258760066
195	0.2584224175
196	0.2579000861
197	0.2573701917
198	0.2569359066
199	0.2562243073
200	0.2559016425
201	0.2552118452
202	0.2549333525
203	0.2543784373
204	0.2537138873
205	0.2532583546
206	0.2530626891
207	0.2527935588
208	0.2522477642
209	0.2518627183
210	0.2512493984
211	0.2506381684
212	0.2501073181
213	0.2497673018
214	0.2492059056
215	0.2488863045
216	0.2485317572
217	0.2482519007
218	0.247962974
219	0.2477316262
220	0.2469556157
221	0.2465415621
222	0.2462269751
223	0.245719405
224	0.2454407087
225	0.2448411867
226	0.2445606087
227	0.2442860466
228	0.2437047878
229	0.2434109486
230	0.2429373517
231	0.2423779163
232	0.2417423808
233	0.2414607337
234	0.2409707681
235	0.2405213
236	0.2404594
237	0.2395795495
238	0.239183994
239	0.2387112236
240	0.2380569912
241	0.2375970533
242	0.2372300963
243	0.2366164577
244	0.2358877182
245	0.2357926055
246	0.235668415
247	0.2350593577
248	0.2348041819
249	0.2345591074
250	0.2341999434
251	0.233799722
252	0.2334932125
253	0.2331307238
254	0.2327524714
255	0.2323389262
256	0.2320733769
257	0.231801012
258	0.23121233
259	0.2307801847
260	0.2302506813
261	0.2299941743
262	0.2297007872
263	0.2292508363
264	0.2286767931
265	0.2282413396
266	0.2278848854
267	0.227639269
268	0.2271735121
269	0.2269034243
270	0.2263734839
271	0.2259866217
272	0.2257171134
273	0.2254632733
274	0.2250854878
275	0.2248034927
276	0.2244440767
277	0.2238525405
278	0.2232954349
279	0.2229685902
280	0.2228440306
281	0.2225598628
282	0.2222948291
283	0.2221844355
284	0.2219149364
285	0.2217148502
286	0.2215341979
287	0.2212603156
288	0.2210692026
289	0.2208922512
290	0.2205528195
291	0.220020543
292	0.2195790445
293	0.2193611359
294	0.2186496477
295	0.2182068899
296	0.2179425737
297	0.2175967339
298	0.2172591009
299	0.2170603468
300	0.2169520026
301	0.2165194756
302	0.216359424
303	0.2161334028
304	0.2157305882
305	0.2152683125
306	0.2150304112
307	0.2145835024
308	0.2141684197
309	0.2139636436
310	0.2136477633
311	0.2133307652
312	0.2131131965
313	0.2130100759
314	0.212807289
315	0.2124147286
316	0.212216666
317	0.2119056771
318	0.2116936513
319	0.2113040905
320	0.2109919393
321	0.2106183942
322	0.2103730343
323	0.2101115069
324	0.2099352326
325	0.2096291667
326	0.209355266
327	0.2090437274
328	0.2087175486
329	0.2086507983
330	0.2083693602
331	0.2082408944
332	0.2080799691
333	0.2079965767
334	0.2075279429
335	0.2071988548
336	0.2068498093
337	0.206775083
338	0.2065350096
339	0.2063900346
340	0.2061155429
341	0.2057143538
342	0.2054059225
343	0.2051475089
344	0.2048945032
345	0.2045620466
346	0.2041830092
347	0.2039877943
348	0.2036247878
349	0.2034006637
350	0.2030787627
351	0.2027009755
352	0.2024112783
353	0.2021980756
354	0.2019542801
355	0.2017644938
356	0.2014580203
357	0.2013125775
358	0.2013028662
359	0.2010781242
360	0.2008843815
361	0.2004664411
362	0.2003319297
363	0.2001809286
364	0.1999891997
365	0.1998373878
366	0.199501225
367	0.1991771148
368	0.1989292329
369	0.1988130138
370	0.198477303
371	0.198322189
372	0.1981696679
373	0.1978434442
374	0.1976364129
375	0.197446517
376	0.197148416
377	0.1969156628
378	0.1965948842
379	0.1963668012
380	0.1961776884
381	0.195959821
382	0.1958174868
383	0.1955989278
384	0.1954879426
385	0.195257071
386	0.1949879089
387	0.1947721986
388	0.1946389193
389	0.1944070152
390	0.1943119184
391	0.1940708271
392	0.1939299885
393	0.193763413
394	0.1935399466
395	0.1932938024
396	0.1930358916
397	0.192736443
398	0.1925296761
399	0.1923985663
400	0.1921080966
401	0.1917492295
402	0.1915530447
403	0.1914256179
404	0.1912441601
405	0.1907390303
406	0.1905268183
407	0.1903463038
408	0.1901416666
409	0.1899540211
410	0.1899390819
411	0.1897505335
412	0.1894099336
413	0.1891541376
414	0.1888563622
415	0.1886848731
416	0.1884544902
417	0.1883361683
418	0.1882632438
419	0.1880294417
420	0.1878658172
421	0.1877751174
422	0.1875576408
423	0.1872238673
424	0.1870151583
425	0.1869028604
426	0.1864720239
427	0.1863018593
428	0.186133676
429	0.1855970181
430	0.1854198404
431	0.1851935018
432	0.1849926396
433	0.1848335385
434	0.1844882023
435	0.1843598186
436	0.1841471927
437	0.1840066069
438	0.1838459562
439	0.1836979366
440	0.1834400013
441	0.1831438201
442	0.1828213519
443	0.1824764947
444	0.1823497864
445	0.1822004021
446	0.1819860444
447	0.1817517878
448	0.1815102884
449	0.1811323037
450	0.1810243615
451	0.1807671751
452	0.1806331527
453	0.1805019438
454	0.1803617272
455	0.1803270915
456	0.1801568094
457	0.1799433597
458	0.1797392846
459	0.1795781363
460	0.1795420428
461	0.1795155793
462	0.1792141403
463	0.1789034
464	0.1787471376
465	0.1786265682
466	0.1785737087
467	0.1784342329
468	0.1782835895
469	0.1780280741
470	0.1777542709
471	0.1776222519
472	0.177354003
473	0.1772604855
474	0.1770573378
475	0.1769363348
476	0.1768205777
477	0.176467716
478	0.1763224088
479	0.1760133173
480	0.1758746243
481	0.1757332254
482	0.1754791382
483	0.1753040571
484	0.1751580647
485	0.1749835344
486	0.1747715559
487	0.1746812629
488	0.1744598638
489	0.174293797
490	0.173986172
491	0.173905468
492	0.1738062434
493	0.1735853583
494	0.1734534369
495	0.1733015994
496	0.1732217968
497	0.1729526046
498	0.1726999822
499	0.1725717387
500	0.1724401154
501	0.1722277531
502	0.172087674
503	0.1719157805
504	0.1718042803
505	0.1713468397
506	0.1712540055
507	0.170995111
508	0.1707398294
509	0.1706497302
510	0.1705257428
511	0.1703387919
512	0.1700740942
513	0.1699600019
514	0.1698070165
515	0.169473849
516	0.1691145556
517	0.1689992916
518	0.1688169229
519	0.1687181383
520	0.1685316438
521	0.1683376052
522	0.1680899465
523	0.1677442594
524	0.1675136984
525	0.167290026
526	0.1668717977
527	0.1665092621
528	0.1663598399
529	0.166228524
530	0.166113609
531	0.1658537529
532	0.1657079455
533	0.1655473979
534	0.1654166823
535	0.1652271734
536	0.1649157582
537	0.1646255555
538	0.1644110553
539	0.1641210045
540	0.1639783244
541	0.1639190987
542	0.1636655333
543	0.1634178723
544	0.1631257391
545	0.1630209948
546	0.1627628867
547	0.1625403974
548	0.1622891163
549	0.1620708558
550	0.1619766723
551	0.1619470061
552	0.1618165145
553	0.161738849
554	0.1616723832
555	0.1615422277
556	0.161403977
557	0.161159688
558	0.1608374675
559	0.1608027901
560	0.1607015686
561	0.1605460154
562	0.1603883999
563	0.1601368926
564	0.1599671115
565	0.1598944437
566	0.159840422
567	0.1597184031
568	0.1594816296
569	0.1593666578
570	0.159239431
571	0.1592323831
572	0.1590829964
573	0.1590304087
574	0.1587731168
575	0.1586001203
576	0.1584436057
577	0.1582909419
578	0.1580993315
579	0.1579395655
580	0.1577544025
581	0.1575958974
582	0.1574556449
583	0.1571914423
584	0.1569970105
585	0.1567541046
586	0.1564685367
587	0.1563172329
588	0.1560412455
589	0.1558763768
590	0.1558051489
591	0.1556606805
592	0.155483525
593	0.155253933
594	0.1550646362
595	0.1549311739
596	0.1548106548
597	0.1545617048
598	0.1544448799
599	0.1543447798
600	0.1541464932
601	0.1540083971
602	0.1539218901
603	0.1538015322
604	0.1536868955
605	0.1535699984
606	0.1533561753
607	0.153200323
608	0.1531547003
609	0.1530254115
610	0.1529567609
611	0.1528266399
612	0.1526573126
613	0.1525073007
614	0.1523547984
615	0.1520160113
616	0.1518217263
617	0.1517118208
618	0.1515217267
619	0.1514217973
620	0.1512934204
621	0.151142465
622	0.1510090009
623	0.1508252513
624	0.15074584
625	0.1505263736
626	0.1503776604
627	0.150282049
628	0.150099278
629	0.1498481084
630	0.1497276075
631	0.1496072946
632	0.1494644116
633	0.1492442446
634	0.1491497559
635	0.1490863378
636	0.1490813375
637	0.148966595
638	0.148869571
639	0.1488272851
640	0.1486524168
641	0.1484607351
642	0.1483640151
643	0.1481370286
644	0.1479905877
645	0.1478739951
646	0.1476609162
647	0.1475934241
648	0.1473798223
649	0.1472125226
650	0.1470273788
651	0.1468377608
652	0.1467231245
653	0.146620763
654	0.1464506042
655	0.1462565371
656	0.146196901
657	0.1460532643
658	0.1459830063
659	0.1458937529
660	0.145764306
661	0.1456456911
662	0.1455114923
663	0.1454214465
664	0.1453127652
665	0.1451581191
666	0.1450463485
667	0.1448460057
668	0.1447427202
669	0.1445849098
670	0.1444185664
671	0.1441451814
672	0.1440424929
673	0.1438283346
674	0.1437747993
675	0.1436804223
676	0.143541444
677	0.1434128114
678	0.1432839524
679	0.1431323438
680	0.142888114
681	0.1428273483
682	0.1426729621
683	0.1426315861
684	0.1424677923
685	0.1424056258
686	0.1423513968
687	0.1421895659
688	0.1421175208
689	0.1420251456
690	0.1418015123
691	0.1415880265
692	0.1415336359
693	0.1413560409
694	0.1412950619
695	0.1411843508
696	0.140927406
697	0.1407805052
698	0.1406641385
699	0.1405684668
700	0.1403857378
701	0.1402476398
702	0.139925727
703	0.1398239157
704	0.1397146736
705	0.1395666877
706	0.1394960666
707	0.1394142535
708	0.1393383005
709	0.1392126348
710	0.1389937532
711	0.1388626715
712	0.1385899194
713	0.1384277115
714	0.1383409651
715	0.1382624896
716	0.1380011074
717	0.1378151398
718	0.1377088354
719	0.1375341691
720	0.1374233671
721	0.1373301685
722	0.1371726907
723	0.137083468
724	0.1370042524
725	0.1368642244
726	0.1367583595
727	0.136675779
728	0.1364948231
729	0.1364136978
730	0.136332263
731	0.1361187317
732	0.135962591
733	0.1359246724
734	0.1358389708
735	0.1357026671
736	0.1356286108
737	0.1355248571
738	0.1353446651
739	0.1352380253
740	0.1349424822
741	0.1348288656
742	0.1347639756
743	0.1346939241
744	0.1344837305
745	0.1343803715
746	0.1342730577
747	0.1340623334
748	0.1338638676
749	0.1335842658
750	0.1333650714
751	0.1333102028
752	0.1332105567
753	0.1331343478
754	0.1330062915
755	0.1329491785
756	0.1328941615
757	0.1328055533
758	0.1325926527
759	0.1323751768
760	0.1321881054
761	0.132048757
762	0.1318627867
763	0.1317530519
764	0.1316512982
765	0.131509956
766	0.1314547468
767	0.1314082714
768	0.131169115
769	0.1311384053
770	0.1309868152
771	0.1308551067
772	0.1307021687
773	0.1306206357
774	0.1305987405
775	0.1304805169
776	0.1302909938
777	0.1301642999
778	0.1301211539
779	0.1300526003
780	0.1300042391
781	0.1299041311
782	0.1296526804
