iter	Logloss
0	0.684576752
1	0.675856704
2	0.6687945445
3	0.6605384897
4	0.6557828571
5	0.6477655533
6	0.6405447164
7	0.6342187584
8	0.6276055432
9	0.6223173929
10	0.6154464582
11	0.6086073709
12	0.6009468289
13	0.5936625769
14	0.5863251292
15	0.5807061852
16	0.5756455168
17	0.569114895
18	0.5625359771
19	0.5562278678
20	0.5508576489
21	0.5452110221
22	0.5397241575
23	0.535496423
24	0.5292908905
25	0.5251466244
26	0.519732344
27	0.5150745287
28	0.5103020624
29	0.5062696824
30	0.5011770966
31	0.4977034473
32	0.4925838785
33	0.4882375735
34	0.4845445965
35	0.4796920216
36	0.4768748152
37	0.4729655555
38	0.4690931128
39	0.4653651386
40	0.4617167482
41	0.4579985032
42	0.4542322771
43	0.4504192947
44	0.4467217682
45	0.4431092848
46	0.4394109183
47	0.4376922747
48	0.4344213643
49	0.4310348931
50	0.4274395584
51	0.4252299038
52	0.4216946943
53	0.4193274822
54	0.4164393014
55	0.4134753516
56	0.4115699278
57	0.4087470518
58	0.406212553
59	0.4036454367
60	0.4011422254
61	0.3985408468
62	0.3960989856
63	0.3940011471
64	0.3919777126
65	0.3893114492
66	0.3871541854
67	0.3856107729
68	0.3834598086
69	0.3815808077
70	0.3802694968
71	0.3784830286
72	0.3775208499
73	0.3753350634
74	0.3733022847
75	0.3708835567
76	0.3685046905
77	0.3673064906
78	0.3653660346
79	0.3635437992
80	0.3614852975
81	0.3595295127
82	0.3573804383
83	0.3558853569
84	0.3548369451
85	0.3531263159
86	0.3511992638
87	0.3495914914
88	0.3479752497
89	0.3464780335
90	0.3452265328
91	0.3446613977
92	0.3432367307
93	0.3419769707
94	0.3408443556
95	0.3397624165
96	0.3388522787
97	0.3378834506
98	0.3367837328
99	0.3357841422
100	0.3344272649
101	0.3328681036
102	0.3316431308
103	0.3303749014
104	0.328768179
105	0.3280101041
106	0.3268005651
107	0.3257582778
108	0.3244375176
109	0.3232635708
110	0.322051722
111	0.3210378874
112	0.3196150054
113	0.3187207913
114	0.3174635511
115	0.3165155113
116	0.315398155
117	0.3144252672
118	0.3135001506
119	0.3123598011
120	0.3115944119
121	0.3101679251
122	0.3092537276
123	0.3086659143
124	0.3076786426
125	0.3066835316
126	0.3058069562
127	0.304599447
128	0.3037161171
129	0.3030725182
130	0.3021840787
131	0.3010436592
132	0.3005049119
133	0.2998721621
134	0.2991225566
135	0.2983716912
136	0.2974915111
137	0.2967187024
138	0.295652967
139	0.2948219229
140	0.2940704276
141	0.2929716023
142	0.2921697984
143	0.2917499367
144	0.2913273103
145	0.2906551361
146	0.2896874279
147	0.2895776766
148	0.2891021694
149	0.2885402539
150	0.2882128549
151	0.2874690765
152	0.2868898199
153	0.2860336129
154	0.285306878
155	0.2846144405
156	0.283788891
157	0.2829083434
158	0.2822648495
159	0.2816744113
160	0.2812032612
161	0.2807468624
162	0.2798807687
163	0.2793021071
164	0.2787471211
165	0.2782669417
166	0.2779006783
167	0.2775154814
168	0.2769673899
169	0.2764343822
170	0.2755276916
171	0.2751915608
172	0.274672237
173	0.2739102075
174	0.2732920865
175	0.2727987307
176	0.2722888037
177	0.2718196484
178	0.2712716619
179	0.2708244674
180	0.2701079692
181	0.2696971543
182	0.2692398981
183	0.2688425572
184	0.2680847273
185	0.2675573891
186	0.2671422346
187	0.2664916712
188	0.2661871604
189	0.2657297467
190	0.2652815723
191	0.2647314159
192	0.2643560882
193	0.2639983641
194	0.2635041683
195	0.2628854349
196	0.2625311405
197	0.2619063351
198	0.2614717746
199	0.2612808648
200	0.2606450002
201	0.2601651533
202	0.2597995373
203	0.2595145549
204	0.2590208666
205	0.2587099688
206	0.2583660861
207	0.2579732772
208	0.257113203
209	0.2565043913
210	0.2561942109
211	0.2554351037
212	0.2551254657
213	0.2547743561
214	0.254209116
215	0.2536071112
216	0.2529025996
217	0.2526303913
218	0.2523474912
219	0.2519318117
220	0.251720376
221	0.2514028287
222	0.250996091
223	0.2506433889
224	0.2503839195
225	0.2500839058
226	0.2497635938
227	0.2495210805
228	0.2492213993
229	0.2489570303
230	0.2483959023
231	0.2481375528
232	0.2477611227
233	0.246987999
234	0.2465436918
235	0.2463710155
236	0.2457420804
237	0.2452471672
238	0.2449047544
239	0.2445072909
240	0.2441376502
241	0.2440301038
242	0.2438681891
243	0.2435880189
244	0.2433812028
245	0.2431805112
246	0.2430073799
247	0.2426209931
248	0.2423594939
249	0.242104994
250	0.2416817901
251	0.2413571559
252	0.2411471726
253	0.2408099218
254	0.2405589567
255	0.2402810963
256	0.239774494
257	0.2394267266
258	0.2392376541
259	0.2388944538
260	0.238646586
261	0.238369758
262	0.2380222531
263	0.237770798
264	0.2373742095
265	0.2371485299
266	0.2369026744
267	0.236567331
268	0.2364084261
269	0.2360799772
270	0.2359270568
271	0.2355755272
272	0.2353350613
273	0.2347579046
274	0.2345366172
275	0.2342682235
276	0.2339371148
277	0.233719992
278	0.2332050428
279	0.2327219762
280	0.232333052
281	0.2320792872
282	0.2316930753
283	0.2313882145
284	0.2310561784
285	0.2308208571
286	0.2304874385
287	0.2303325408
288	0.2299637401
289	0.2297832419
290	0.2294935524
291	0.2292013256
292	0.2287074273
293	0.2281348027
294	0.2276942052
295	0.2273420106
296	0.2270400196
297	0.2269940158
298	0.2268436502
299	0.2265589478
300	0.2263634008
301	0.2260868003
302	0.2257521743
303	0.2252578735
304	0.2250217298
305	0.2248332347
306	0.2246793519
307	0.2243812281
308	0.2241341827
309	0.2238737684
310	0.2236484738
311	0.2231634822
312	0.2229532714
313	0.2226284447
314	0.2223168469
315	0.2220316196
316	0.2217697704
317	0.2213667598
318	0.2211964109
319	0.2208284851
320	0.2206227014
321	0.2204362362
322	0.2201007528
323	0.2198695961
324	0.2196808386
325	0.2194224366
326	0.2191709116
327	0.2190747392
328	0.2189326855
329	0.2186909072
330	0.2184638452
331	0.2181261395
332	0.2180036142
333	0.2178380774
334	0.2175793429
335	0.217502489
336	0.2173833585
337	0.2172441395
338	0.2170185824
339	0.2167072121
340	0.2164033662
341	0.2161023551
342	0.2158545573
343	0.2155633979
344	0.2153762327
345	0.215158655
346	0.2149253635
347	0.2147120904
348	0.2145490559
349	0.2143168668
350	0.2140512029
351	0.2137322032
352	0.2135294118
353	0.2133339698
354	0.2131719852
355	0.2129198827
356	0.2128098864
357	0.2128066317
358	0.2124434655
359	0.2122227205
360	0.2118641565
361	0.2117159607
362	0.2112575846
363	0.2111048742
364	0.2108399977
365	0.2106840851
366	0.2103169467
367	0.2102651684
368	0.2098753343
369	0.2097338405
370	0.2095274969
371	0.2092567234
372	0.2086674402
373	0.2084774402
374	0.2083217026
375	0.2079695955
376	0.2076456087
377	0.2075179039
378	0.2073573541
379	0.2071303621
380	0.2069777392
381	0.2068437699
382	0.2065108938
383	0.206230531
384	0.2061215322
385	0.2059313923
386	0.2058112818
387	0.2056374681
388	0.2055255645
389	0.2053220381
390	0.2050604164
391	0.2048507655
392	0.2045333932
393	0.2044411056
394	0.2042291449
395	0.2036991469
396	0.2035704446
397	0.2034613933
398	0.2033899465
399	0.2031587373
400	0.2030209708
401	0.2029542136
402	0.2027768476
403	0.2025773285
404	0.2024471913
405	0.2021240094
406	0.2018999922
407	0.2017980453
408	0.2015679211
409	0.2013240079
410	0.2012926154
411	0.2011444372
412	0.2007795211
413	0.2006857461
414	0.2005312333
415	0.2002951071
416	0.200239584
417	0.199987954
418	0.1998436604
419	0.1996515782
420	0.1995200236
421	0.1993731227
422	0.199193027
423	0.199016816
424	0.1986709385
425	0.1984766864
426	0.1982526692
427	0.1981124003
428	0.1979801808
429	0.1979332495
430	0.1979231178
431	0.1977476417
432	0.1974447058
433	0.197315846
434	0.1972312752
435	0.196975778
436	0.1968509079
437	0.1967903452
438	0.1964690532
439	0.1963776755
440	0.1963349964
441	0.1962446335
442	0.196119536
443	0.1957893022
444	0.1954183141
445	0.1952656912
446	0.1949925729
447	0.1947689581
448	0.1946207624
449	0.194380314
450	0.1942030005
451	0.1941255867
452	0.1939742062
453	0.1937904008
454	0.1934883573
455	0.1933416664
456	0.1931845639
457	0.1929013314
458	0.1927766362
459	0.1925259336
460	0.1922921872
461	0.1921709218
462	0.1920163041
463	0.191759547
464	0.1916503906
465	0.1913390203
466	0.1910890702
467	0.1909342075
468	0.1907872191
469	0.1905508129
470	0.1902857089
471	0.1902459346
472	0.1901312137
473	0.1900279019
474	0.1898213833
475	0.1896110325
476	0.1894370613
477	0.1892486362
478	0.1889312464
479	0.1885976529
480	0.1883332139
481	0.1882611896
482	0.1879382352
483	0.1878264191
484	0.187437565
485	0.1872727805
486	0.1871352414
487	0.1870645646
488	0.1867324584
489	0.1864015772
490	0.1862159344
491	0.1860447455
492	0.1858801885
493	0.1858635999
494	0.1856520242
495	0.1854594694
496	0.185055514
497	0.1849374509
498	0.1847548354
499	0.184513232
500	0.1843731381
501	0.1842126759
502	0.184015624
503	0.1839560237
504	0.1839174393
505	0.1837480528
506	0.1836431311
507	0.1835722617
508	0.1833996554
509	0.1831746933
510	0.1831052413
511	0.1829111642
512	0.1827831268
513	0.1826588692
514	0.1823484438
515	0.1821735627
516	0.1820231271
517	0.181936789
518	0.1818123214
519	0.1817403321
520	0.1813913223
521	0.1813616271
522	0.1812384019
523	0.1810141572
524	0.1808940992
525	0.1808081986
526	0.1805661928
527	0.1804768624
528	0.1803720457
529	0.1802512003
530	0.1801906376
531	0.180141204
532	0.1798922687
533	0.1797481152
534	0.1795855531
535	0.1793886587
536	0.1792295088
537	0.1789925951
538	0.1788638579
539	0.1784743038
540	0.1782310381
541	0.1778901126
542	0.1777258882
543	0.1776541964
544	0.1774462779
545	0.1773654343
546	0.1772350346
547	0.1770539415
548	0.1769602189
549	0.1768993763
550	0.1766529783
551	0.1765156317
552	0.1763753978
553	0.1762531525
554	0.1761662194
555	0.1757974887
556	0.1756567649
557	0.1755876454
558	0.1754938178
559	0.1753520091
560	0.1751428832
561	0.1749804436
562	0.174936767
563	0.1747250863
564	0.1745127232
565	0.1744847779
566	0.1743314201
567	0.1742512414
568	0.1742424221
569	0.1740437254
570	0.1738244503
571	0.1736906559
572	0.1735738877
573	0.1733920246
574	0.1732136438
575	0.1730523416
576	0.1728738032
577	0.1728237047
578	0.1727102087
579	0.172630555
580	0.1724734875
581	0.1723521871
582	0.1722011566
583	0.1721255801
584	0.1720185936
585	0.1718350682
586	0.1718135449
587	0.1716903022
588	0.1714862858
589	0.1713517565
590	0.1712735902
591	0.1711075284
592	0.1710047591
593	0.1708882883
594	0.1708445418
595	0.1707382902
596	0.1706492573
597	0.1705978289
598	0.1704624246
599	0.1703364871
600	0.1703203884
601	0.1702293606
602	0.170086082
603	0.1698896426
604	0.1698020445
605	0.169707622
606	0.1696765795
607	0.169480735
608	0.1693771432
609	0.1692091916
610	0.1688851173
611	0.168743851
612	0.1686846707
613	0.1685303854
614	0.1683642536
615	0.168207991
616	0.1680692795
617	0.1680000375
618	0.1677390632
619	0.1675772011
620	0.1674985273
621	0.1673462194
622	0.1672474922
623	0.1671549246
624	0.1670026167
625	0.1668041299
626	0.1666009885
627	0.1664512704
628	0.1662459067
629	0.1659243172
630	0.1658035418
631	0.165612317
632	0.1655531717
633	0.1653208776
634	0.1651758841
635	0.1650943231
636	0.1649091878
637	0.1647643343
638	0.1646715917
639	0.1646311524
640	0.1644238113
641	0.1642516775
642	0.1641804756
643	0.1640269778
644	0.1638628583
645	0.1638523767
646	0.1635555302
647	0.1633050901
648	0.1631760029
649	0.1629916025
650	0.1627174167
651	0.1626132825
652	0.162562729
653	0.162336402
654	0.162153034
655	0.1619781004
656	0.1618422062
657	0.1617552906
658	0.1615463047
659	0.161353715
660	0.1611925878
661	0.1610687326
662	0.1608841922
663	0.1607534426
664	0.1605264156
665	0.1603639585
666	0.160206541
667	0.1599392147
668	0.1598721775
669	0.1596387111
670	0.1593725572
671	0.1592954583
672	0.1589993293
673	0.1588485088
674	0.158720279
675	0.1585981212
676	0.1584660241
677	0.1584599696
678	0.1584099936
679	0.1582820437
680	0.1581518366
681	0.157925912
682	0.1578347792
683	0.1576837312
684	0.1575749599
685	0.1574939063
686	0.157309086
687	0.1571100567
688	0.1570964603
689	0.1570090898
690	0.156923994
691	0.1567129783
692	0.1564721449
693	0.1562276193
694	0.1561455333
695	0.1559364249
696	0.1558564387
697	0.1557497147
698	0.1556348888
699	0.1554336548
700	0.1553256534
701	0.1550925719
702	0.1550357189
703	0.1549346294
704	0.1547740271
705	0.1545442529
706	0.1544935419
707	0.1543920149
708	0.1543543404
709	0.1542005976
710	0.1540236867
711	0.1539140229
712	0.1537198933
713	0.1534289439
714	0.1531665872
715	0.153149806
716	0.1528958487
717	0.1528321012
718	0.1527932543
719	0.1525946976
720	0.1524579459
721	0.1523987656
722	0.152223902
723	0.1519944427
724	0.151984101
725	0.1517607663
726	0.1515853952
727	0.1513318053
728	0.1512105924
729	0.1511087855
730	0.1510049662
731	0.1508291752
732	0.1507162217
733	0.1505325387
734	0.1505099655
735	0.1502930527
736	0.1501511215
737	0.1499727232
738	0.1498784931
739	0.1497253628
740	0.1495632732
741	0.149369966
742	0.1492175006
743	0.1491079768
744	0.1489464121
745	0.1488297489
746	0.1487169528
747	0.1485430691
