iter	Passed	Remaining
439	1304	1660
440	1306	1656
441	1310	1654
442	1314	1652
443	1317	1649
444	1319	1645
445	1323	1644
446	1326	1640
447	1328	1637
448	1332	1635
449	1337	1635
450	1341	1632
451	1344	1629
452	1347	1626
453	1350	1624
454	1353	1621
455	1356	1618
456	1359	1615
457	1361	1611
458	1364	1608
459	1369	1607
460	1371	1603
461	1374	1600
462	1378	1598
463	1380	1594
464	1382	1591
465	1386	1588
466	1389	1586
467	1392	1583
468	1395	1580
469	1398	1577
470	1402	1574
471	1405	1572
472	1408	1568
473	1410	1564
474	1411	1560
475	1414	1557
476	1418	1555
477	1421	1552
478	1424	1549
479	1427	1546
480	1429	1542
481	1431	1538
482	1435	1536
483	1438	1533
484	1440	1529
485	1443	1526
486	1445	1522
487	1447	1518
488	1449	1514
489	1451	1510
490	1453	1506
491	1455	1502
492	1457	1499
493	1459	1494
494	1462	1492
495	1466	1490
496	1469	1487
497	1472	1484
498	1475	1481
499	1477	1477
500	1479	1473
501	1481	1469
502	1483	1465
503	1485	1462
504	1487	1457
505	1489	1454
506	1493	1451
507	1497	1449
508	1500	1447
509	1502	1444
510	1505	1441
511	1507	1437
512	1510	1433
513	1512	1430
514	1515	1427
515	1518	1424
516	1520	1420
517	1524	1418
518	1527	1415
519	1529	1411
520	1531	1407
521	1534	1405
522	1537	1401
523	1539	1398
524	1540	1394
525	1544	1391
526	1546	1387
527	1548	1384
528	1550	1380
529	1553	1377
530	1557	1375
531	1560	1372
532	1562	1368
533	1564	1365
534	1566	1361
535	1569	1358
536	1571	1355
537	1573	1351
538	1575	1347
539	1578	1344
540	1580	1340
541	1583	1337
542	1588	1336
543	1590	1333
544	1593	1329
545	1595	1326
546	1597	1322
547	1600	1319
548	1603	1317
549	1605	1313
550	1608	1310
551	1611	1307
552	1613	1303
553	1616	1301
554	1620	1299
555	1622	1295
556	1624	1292
557	1626	1288
558	1629	1285
559	1631	1281
560	1633	1278
561	1635	1274
562	1637	1271
563	1640	1268
564	1642	1264
565	1645	1261
566	1647	1258
567	1649	1254
568	1651	1250
569	1653	1247
570	1656	1244
571	1658	1241
572	1661	1238
573	1664	1235
574	1666	1232
575	1669	1228
576	1672	1225
577	1674	1222
578	1676	1219
579	1678	1215
580	1680	1212
581	1682	1208
582	1685	1205
583	1688	1202
584	1691	1199
585	1694	1197
586	1696	1193
587	1698	1190
588	1701	1187
589	1704	1184
590	1708	1182
591	1710	1178
592	1712	1175
593	1714	1171
594	1716	1168
595	1719	1165
596	1723	1163
597	1726	1160
598	1729	1157
599	1730	1153
600	1732	1150
601	1734	1146
602	1736	1143
603	1738	1139
604	1740	1136
605	1743	1133
606	1746	1130
607	1748	1127
608	1751	1124
609	1754	1121
610	1757	1119
611	1760	1116
612	1762	1112
613	1764	1109
614	1766	1105
615	1768	1102
616	1771	1099
617	1774	1096
618	1776	1093
619	1778	1090
620	1781	1087
621	1786	1085
622	1789	1082
623	1791	1079
624	1794	1076
625	1797	1073
626	1799	1070
627	1802	1067
628	1804	1064
629	1807	1061
630	1809	1058
631	1812	1055
632	1814	1052
633	1817	1049
634	1820	1046
635	1822	1043
636	1824	1039
637	1826	1036
638	1828	1033
639	1831	1030
640	1834	1027
641	1836	1024
642	1838	1020
643	1841	1017
644	1844	1015
645	1847	1012
646	1849	1009
647	1852	1006
648	1855	1003
649	1857	999
650	1858	996
651	1861	993
652	1863	990
653	1866	987
654	1868	984
655	1870	981
656	1874	978
657	1877	975
658	1879	972
659	1882	969
660	1885	966
661	1887	963
662	1889	960
663	1891	957
664	1893	954
665	1896	951
666	1899	948
667	1902	945
668	1904	942
669	1906	939
670	1908	935
671	1911	932
672	1914	930
673	1916	926
674	1918	923
675	1920	920
676	1923	917
677	1924	913
678	1926	910
679	1928	907
680	1931	904
681	1933	901
682	1936	898
683	1939	896
684	1941	893
685	1943	889
686	1946	886
687	1948	883
688	1950	880
689	1953	877
690	1955	874
691	1958	871
692	1962	869
693	1965	866
694	1969	864
695	1971	861
696	1973	858
697	1976	854
698	1978	852
699	1980	848
700	1982	845
701	1986	843
702	1988	839
703	1990	836
704	1992	833
705	1995	830
706	1998	828
707	2002	825
708	2004	822
709	2006	819
710	2010	817
711	2013	814
712	2016	811
713	2018	808
714	2021	805
715	2023	802
716	2027	800
717	2038	800
718	2040	797
719	2043	794
720	2045	791
721	2048	788
722	2050	785
723	2053	782
724	2056	780
725	2059	777
726	2063	774
727	2065	771
728	2067	768
729	2070	765
730	2074	763
731	2077	760
732	2079	757
733	2081	754
734	2083	751
735	2085	748
736	2088	745
737	2092	742
738	2095	739
739	2097	736
740	2100	734
741	2103	731
742	2106	728
743	2108	725
744	2111	722
745	2113	719
746	2115	716
747	2117	713
748	2120	710
749	2123	707
750	2126	705
751	2128	701
752	2132	699
753	2135	696
754	2137	693
755	2141	691
756	2142	687
757	2144	684
758	2146	681
759	2150	679
760	2153	676
761	2155	673
762	2157	670
763	2159	667
764	2163	664
765	2167	662
766	2169	659
767	2171	655
768	2172	652
769	2174	649
770	2176	646
771	2179	643
772	2182	640
773	2184	637
774	2187	635
775	2190	632
776	2193	629
777	2196	626
778	2199	623
779	2202	621
780	2207	618
781	2210	616
782	2213	613
783	2217	610
784	2220	608
785	2225	605
786	2228	603
787	2230	600
788	2234	597
789	2236	594
790	2240	591
791	2243	589
792	2246	586
793	2249	583
794	2254	581
795	2257	578
796	2259	575
797	2262	572
798	2266	570
799	2270	567
800	2274	565
801	2277	562
802	2280	559
803	2283	556
804	2286	553
805	2288	550
806	2301	550
807	2304	547
808	2307	544
809	2310	542
810	2313	539
811	2317	536
812	2320	533
813	2322	530
814	2324	527
815	2327	524
816	2329	521
817	2332	518
818	2334	515
819	2337	513
820	2340	510
821	2342	507
822	2345	504
823	2348	501
824	2351	498
825	2353	495
826	2356	492
827	2358	490
828	2362	487
829	2366	484
830	2371	482
831	2373	479
832	2378	476
833	2381	474
834	2384	471
835	2388	468
836	2391	465
837	2394	462
838	2396	459
839	2399	457
840	2401	454
841	2405	451
842	2407	448
843	2411	445
844	2413	442
845	2416	439
846	2420	437
847	2424	434
848	2427	431
849	2429	428
850	2434	426
851	2437	423
852	2440	420
853	2442	417
854	2446	414
855	2448	411
856	2451	409
857	2454	406
858	2457	403
859	2460	400
860	2463	397
861	2467	394
862	2470	392
863	2474	389
864	2478	386
865	2482	384
866	2485	381
867	2488	378
868	2492	375
869	2496	372
870	2499	370
871	2502	367
872	2504	364
873	2507	361
874	2509	358
875	2511	355
876	2516	352
877	2519	350
878	2521	347
879	2524	344
880	2526	341
881	2529	338
882	2531	335
883	2534	332
884	2535	329
885	2538	326
886	2541	323
887	2545	321
888	2547	318
889	2549	315
890	2551	312
891	2553	309
892	2555	306
893	2558	303
894	2561	300
895	2563	297
896	2566	294
